# BSD 3-Clause Clear License
# Copyright © 2025 ZAMA. All rights reserved.

Name,Group,Kind,Path,Seed,Timeout,Enabled
#####################################################################
# Groups
# * lib
# * shared_module
# * hpu_module
# * hpu_top
# Kind
# * stable : confident code => rarely run
# * sanity : minimal tb to run to do high level verification
# * wip    : work in progress code => often run
# * ok     : working code, but not as mature as stable. Still need some runs.

#####################################################################
# LIB
#####################################################################
tb_stream_sink,lib,stable,hw/simu_lib/stream_lib/simu/tb_stream_sink,-1,-1,true
tb_stream_source,lib,stable,hw/simu_lib/stream_lib/simu/tb_stream_source,-1,-1,true
tb_ram_wrapper_1R1W,lib,stable,hw/common_lib/ram_wrapper/simu/tb_ram_wrapper_1R1W,-1,-1,true
tb_ram_wrapper_2RW,lib,stable,hw/common_lib/ram_wrapper/simu/tb_ram_wrapper_2RW,-1,-1,true
tb_rom_wrapper_1R,lib,stable,hw/common_lib/rom_wrapper/simu/tb_rom_wrapper_1R,-1,-1,true
tb_rom_wrapper_2R,lib,stable,hw/common_lib/rom_wrapper/simu/tb_rom_wrapper_2R,-1,-1,true
tb_fifo_reg,lib,stable,hw/common_lib/fifo/simu/tb_fifo_reg,-1,-1,true
tb_fifo_element,lib,stable,hw/common_lib/fifo/simu/tb_fifo_element,-1,-1,true
tb_fifo_ram_rdy_vld,lib,stable,hw/common_lib/fifo/simu/tb_fifo_ram_rdy_vld,-1,-1,true
tb_fifo_delay,lib,wip,hw/common_lib/fifo/simu/tb_fifo_delay,-1,-1,true
tb_arith_mult_core,lib,stable,hw/common_lib/arithmetic/module/arith_mult/module/arith_mult_core/simu,-1,-1,true
tb_arith_mult_karatsuba,lib,stable,hw/common_lib/arithmetic/module/arith_mult/module/arith_mult_karatsuba/simu,-1,-1,true
tb_arith_mult_cst_solinas3,lib,stable,hw/common_lib/arithmetic/module/arith_mult_constant/module/arith_mult_cst_solinas3/simu,-1,-1,true
tb_arith_mult_cst_solinas2,lib,stable,hw/common_lib/arithmetic/module/arith_mult_constant/module/arith_mult_cst_solinas2/simu,-1,-1,true
tb_arith_mult_cst_mersenne,lib,stable,hw/common_lib/arithmetic/module/arith_mult_constant/module/arith_mult_cst_mersenne/simu,-1,-1,true
tb_stream_to_pipe,lib,stable,hw/common_lib/stream_to_pipe/simu,-1,-1,true
tb_stream_to_seq,lib,wip,hw/common_lib/stream_to_seq/simu,-1,-1,true
tb_stream_dispatch,lib,wip,hw/common_lib/stream_dispatch/simu,-1,-1,true
tb_mod_reduct_mersenne,lib,stable,hw/common_lib/mod_arithmetic/module/mod_reduct/module/mod_reduct_mersenne/simu,-1,-1,true
tb_mod_reduct_barrett,lib,stable,hw/common_lib/mod_arithmetic/module/mod_reduct/module/mod_reduct_barrett/simu,-1,-1,true
tb_mod_reduct_solinas2,lib,stable,hw/common_lib/mod_arithmetic/module/mod_reduct/module/mod_reduct_solinas2/simu,-1,-1,true
tb_mod_reduct_solinas3,lib,stable,hw/common_lib/mod_arithmetic/module/mod_reduct/module/mod_reduct_solinas3/simu,-1,-1,true
tb_mod_switch_from_2powerN,lib,stable,hw/common_lib/mod_arithmetic/module/mod_switch/module/mod_switch_from_2powerN/simu,-1,-1,true
tb_mod_switch_to_2powerN,lib,stable,hw/common_lib/mod_arithmetic/module/mod_switch/module/mod_switch_to_2powerN/simu,-1,-1,true
tb_mod_add,lib,stable,hw/common_lib/mod_arithmetic/module/mod_add_sub/simu/tb_mod_add,-1,-1,true
tb_mod_sub,lib,stable,hw/common_lib/mod_arithmetic/module/mod_add_sub/simu/tb_mod_sub,-1,-1,true
tb_mod_acc,lib,stable,hw/common_lib/mod_arithmetic/module/mod_acc/simu,-1,-1,true
tb_mod_mult,lib,stable,hw/common_lib/mod_arithmetic/module/mod_mult/simu,-1,-1,true

#####################################################################
# SHARED_MODULE
#####################################################################
tb_ntt_radix_cooley_tukey,shared_module,ok,hw/module/number_theoretic_transform/module/ntt_radix/module/ntt_radix_cooley_tukey/simu,-1,-1,true
tb_decomp_modsw_wrapper,shared_module,ok,hw/module/decomposer/module/decomp_modsw_wrapper/simu,-1,-1,true
tb_decomp_balanced_sequential,shared_module,wip,hw/module/decomposer/module/decomp_balanced_sequential/simu,-1,-1,true
tb_decomp_parallel,shared_module,ok,hw/module/decomposer/module/decomp_parallel/simu,-1,-1,true
tb_decomp_sequential,shared_module,ok,hw/module/decomposer/module/decomp_sequential/simu,-1,-1,true
tb_twiddle_phi_ru_manager,shared_module,ok,hw/module/twiddle/simu/tb_twiddle_phi_ru_manager,-1,-1,true
tb_twiddle_intt_final_manager,shared_module,ok,hw/module/twiddle/simu/tb_twiddle_intt_final_manager,-1,-1,true
tb_bsk_manager,shared_module,wip,hw/module/bsk/module/bsk_manager/simu,-1,-1,true
tb_bsk_ntw_server,shared_module,ok,hw/module/number_theoretic_transform/module/ntt_core_with_matrix_multiplication/simu/tb_bsk_ntw_server,-1,-1,false
tb_bsk_ntw_srv_clt,shared_module,ok,hw/module/number_theoretic_transform/module/ntt_core_with_matrix_multiplication/simu/tb_bsk_ntw_srv_clt,-1,-1,false
tb_ntt_core_wmm_post_process,shared_module,ok,hw/module/number_theoretic_transform/module/ntt_core_with_matrix_multiplication/module/ntt_core_wmm_post_process/simu,-1,-1,true
tb_ntt_core_with_matrix_multiplication_unfold_pcg,shared_module,sanity,hw/module/number_theoretic_transform/module/ntt_core_with_matrix_multiplication/simu/tb_ntt_core_with_matrix_multiplication_unfold_pcg,-1,-1,true
tb_ntt_core_wmm_clbu_pcg,shared_module,ok,hw/module/number_theoretic_transform/module/ntt_core_with_matrix_multiplication/module/ntt_core_wmm_cluster_butterfly_unit/simu/tb_ntt_core_wmm_clbu_pcg,-1,-1,true
tb_ntt_core_wmm_clbu_and_network_pcg,shared_module,ok,hw/module/number_theoretic_transform/module/ntt_core_with_matrix_multiplication/module/ntt_core_wmm_cluster_butterfly_unit/simu/tb_ntt_core_wmm_clbu_and_network_pcg,-1,-1,true
tb_ksk_manager,shared_module,wip,hw/module/ksk/module/ksk_manager/simu,-1,-1,true
tb_ksk_if,shared_module,wip,hw/module/ksk/module/ksk_if/simu,-1,-1,true
tb_bsk_if,shared_module,wip,hw/module/bsk/module/bsk_if/simu,-1,-1,true
tb_ntt_core_gf64_sign_reduction,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_sign_reduction,-1,-1,true
tb_ntt_core_gf64_pmr_add,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_pmr_add,-1,-1,true
tb_ntt_core_gf64_pmr_sub,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_pmr_sub,-1,-1,true
tb_ntt_core_gf64_pmr_shift_cst,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_pmr_shift_cst,-1,-1,true
tb_ntt_core_gf64_pmr_shift,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_pmr_shift,-1,-1,true
tb_ntt_core_gf64_pmr_sign,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_pmr_sign,-1,-1,true
tb_ntt_core_gf64_pmr_reduction,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_pmr_reduction,-1,-1,true
tb_ntt_core_gf64_pmr,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_pmr,-1,-1,true
tb_ntt_core_gf64_pmr_mult,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_arithmetic/simu/tb_ntt_core_gf64_pmr_mult,-1,-1,true
tb_ntt_core_gf64_bu_radix,shared_module,wip,hw/module/number_theoretic_transform/module/ntt_core_gf64/module/ntt_core_gf64_butterfly_unit/simu/tb_ntt_core_gf64_bu_radix,-1,-1,true
